"teamID","teamName","payroll_mil"
"ARI","Arizona Diamondbacks",90.13
"ATL","Atlanta Braves",87.87
"BAL","Baltimore Orioles",84.39
"BOS","Boston Red Sox",151.53
"CHA","Chicago Cubs",120.07
"CHN","Chicago White Sox",100.57
"CIN","Cincinnati Reds",106.4
"CLE","Cleveland Indians",75.77
"COL","Colorado Rockies",74.41
"DET","Detroit Tigers",145.99
"HOU","Houston Astros",17.89
"KCA","Kansas City Royals",80.09
"LAA","Los Angeles Angels of Anaheim",124.17
"LAN","Los Angeles Dodgers",223.36
"MIA","Miami Marlins",33.6
"MIL","Milwaukee Brewers",76.95
"MIN","Minnesota Twins",75.34
"NYA","New York Yankees",231.98
"NYN","New York Mets",49.45
"OAK","Oakland Athletics",60.13
"PHI","Philadelphia Phillies",169.86
"PIT","Pittsburgh Pirates",77.06
"SDN","San Diego Padres",65.59
"SEA","Seattle Mariners",74.01
"SFN","San Francisco Giants",140.18
"SLN","St. Louis Cardinals",92.26
"TBA","Tampa Bay Rays",52.96
"TEX","Texas Rangers",112.52
"TOR","Toronto Blue Jays",126.29
"WAS","Washington Nationals",113.7
