"region","year","production"
"North America",1990,14709.37586
"Central & South America",1990,4703.19114
"Europe",1990,4818.27995
"Eurasia",1990,11300.93852
"Middle East",1990,17449.08761
"Africa",1990,6718.37661
"Asia & Oceania",1990,6736.456
"North America",1991,15072.72177
"Central & South America",1991,4953.3707
"Europe",1991,5053.06512
"Eurasia",1991,10313.41449
"Middle East",1991,17054.05676
"Africa",1991,6956.73586
"Asia & Oceania",1991,6935.73558
"North America",1992,15027.82823
"Central & South America",1992,5046.89615
"Europe",1992,5345.47897
"Eurasia",1992,8789.07094
"Middle East",1992,18357.20169
"Africa",1992,7072.03845
"Asia & Oceania",1992,6914.03901
"North America",1993,14992.14411
"Central & South America",1993,5296.22445
"Europe",1993,5601.57462
"Eurasia",1993,7867.76736
"Middle East",1993,19291.10823
"Africa",1993,7037.5395
"Asia & Oceania",1993,7014.97669
"North America",1994,14912.2043
"Central & South America",1994,5672.56996
"Europe",1994,6527.15955
"Eurasia",1994,7252.72506
"Middle East",1994,20035.6795
"Africa",1994,7038.77998
"Asia & Oceania",1994,7197.53025
"North America",1995,14928.2361
"Central & South America",1995,6120.67409
"Europe",1995,6874.21031
"Eurasia",1995,7141.80909
"Middle East",1995,20420.87776
"Africa",1995,7317.46197
"Asia & Oceania",1995,7501.36198
"North America",1996,15238.98329
"Central & South America",1996,6526.08143
"Europe",1996,7294.88056
"Eurasia",1996,7044.19061
"Middle East",1996,20618.43138
"Africa",1996,7522.60462
"Asia & Oceania",1996,7740.91275
"North America",1997,15509.54498
"Central & South America",1997,7021.48646
"Europe",1997,7282.80644
"Eurasia",1997,7214.28185
"Middle East",1997,21429.68728
"Africa",1997,7814.78984
"Asia & Oceania",1997,7947.16364
"North America",1998,15480.02825
"Central & South America",1998,7116.51374
"Europe",1998,7230.13846
"Eurasia",1998,7262.60176
"Middle East",1998,22761.06478
"Africa",1998,7788.36699
"Asia & Oceania",1998,8042.01987
"North America",1999,14980.66102
"Central & South America",1999,7003.72471
"Europe",1999,7294.93088
"Eurasia",1999,7639.63468
"Middle East",1999,22114.52086
"Africa",1999,7731.52759
"Asia & Oceania",1999,8073.47791
"North America",2000,15271.00572
"Central & South America",2000,7313.03143
"Europe",2000,7166.34102
"Eurasia",2000,8184.69632
"Middle East",2000,23484.22038
"Africa",2000,7989.6994
"Asia & Oceania",2000,8316.45916
"North America",2001,15343.40023
"Central & South America",2001,7217.85227
"Europe",2001,7226.22467
"Eurasia",2001,8773.67006
"Middle East",2001,22793.07724
"Africa",2001,8028.06533
"Asia & Oceania",2001,8289.95731
"North America",2002,15545.48181
"Central & South America",2002,6928.45688
"Europe",2002,7170.54916
"Eurasia",2002,9428.8284
"Middle East",2002,21570.83281
"Africa",2002,8135.50604
"Asia & Oceania",2002,8321.01652
"North America",2003,15687.1556
"Central & South America",2003,6684.53572
"Europe",2003,6962.5618
"Eurasia",2003,10424.09251
"Middle East",2003,22992.18362
"Africa",2003,8605.69126
"Asia & Oceania",2003,8250.1689
"North America",2004,15709.55871
"Central & South America",2004,7025.77419
"Europe",2004,6591.29134
"Eurasia",2004,11346.93761
"Middle East",2004,24770.0135
"Africa",2004,9321.41913
"Asia & Oceania",2004,8337.08056
"North America",2005,15205.33789
"Central & South America",2005,7243.0744
"Europe",2005,6166.14148
"Eurasia",2005,11766.19597
"Middle East",2005,25693.32224
"Africa",2005,10093.6871
"Asia & Oceania",2005,8533.45622
"North America",2006,15320.81287
"Central & South America",2006,7295.84805
"Europe",2006,5774.70044
"Eurasia",2006,12159.14181
"Middle East",2006,25341.28767
"Africa",2006,10199.94357
"Asia & Oceania",2006,8573.33981
"North America",2007,15418.25498
"Central & South America",2007,7270.36618
"Europe",2007,5445.58215
"Eurasia",2007,12627.78731
"Middle East",2007,24785.34887
"Africa",2007,10490.49678
"Asia & Oceania",2007,8569.84204
"North America",2008,15091.66697
"Central & South America",2008,7463.84184
"Europe",2008,5194.00478
"Eurasia",2008,12561.00105
"Middle East",2008,26116.49463
"Africa",2008,10603.36984
"Asia & Oceania",2008,8733.34761
"North America",2009,15449.70508
"Central & South America",2009,7525.3821
"Europe",2009,4983.42318
"Eurasia",2009,12908.85824
"Middle East",2009,24830.73669
"Africa",2009,10461.34879
"Asia & Oceania",2009,8791.75862
"North America",2010,16115.91849
"Central & South America",2010,7687.3151
"Europe",2010,4646.75873
"Eurasia",2010,13240.57667
"Middle East",2010,25975.70069
"Africa",2010,10717.43714
"Asia & Oceania",2010,9194.90479
"North America",2011,16685.78787
"Central & South America",2011,7857.20453
"Europe",2011,4265.03233
"Eurasia",2011,13328.93529
"Middle East",2011,27361.49109
"Africa",2011,9319.87762
"Asia & Oceania",2011,9051.38345
"North America",2012,17911.14234
"Central & South America",2012,7801.06993
"Europe",2012,3974.36583
"Eurasia",2012,13415.32205
"Middle East",2012,27599.61346
"Africa",2012,9971.29778
"Asia & Oceania",2012,9077.34336
"North America",2013,19345.05269
"Central & South America",2013,7925.28111
"Europe",2013,3792.75292
"Eurasia",2013,13556.56404
"Middle East",2013,27179.94921
"Africa",2013,9353.05937
"Asia & Oceania",2013,8977.50422
